GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US01344,01344,ZCTA5 01344,27271,2118
8600000US01346,01346,ZCTA5 01346,33586,5769
8600000US01347,01347,ZCTA5 01347,19143,4837
8600000US01349,01349,ZCTA5 01349,25594,3277
8600000US01350,01350,ZCTA5 01350,22175,5436
8600000US01351,01351,ZCTA5 01351,39407,4966
8600000US01354,01354,ZCTA5 01354,33295,4082
8600000US01355,01355,ZCTA5 01355,36187,4962
8600000US01360,01360,ZCTA5 01360,33157,2896
8600000US01364,01364,ZCTA5 01364,22077,1374
8600000US01366,01366,ZCTA5 01366,35322,4290
8600000US01367,01367,ZCTA5 01367,25178,6733
8600000US01368,01368,ZCTA5 01368,28429,2847
8600000US01370,01370,ZCTA5 01370,36488,7177
8600000US01373,01373,ZCTA5 01373,36138,3546
8600000US01375,01375,ZCTA5 01375,34286,9312
8600000US01376,01376,ZCTA5 01376,25130,3028
8600000US01378,01378,ZCTA5 01378,31262,2976
8600000US01379,01379,ZCTA5 01379,29457,7143
8600000US01420,01420,ZCTA5 01420,23622,1033
8600000US01430,01430,ZCTA5 01430,35860,4662
8600000US01431,01431,ZCTA5 01431,32514,3302
8600000US01432,01432,ZCTA5 01432,42565,4598
8600000US01434,01434,ZCTA5 01434,15055,3501
8600000US01436,01436,ZCTA5 01436,28266,3546
8600000US01438,01438,ZCTA5 01438,27062,10675
8600000US01440,01440,ZCTA5 01440,24680,1605
8600000US01450,01450,ZCTA5 01450,50656,3638
8600000US01451,01451,ZCTA5 01451,64234,6413
8600000US01452,01452,ZCTA5 01452,34042,2966
8600000US01453,01453,ZCTA5 01453,29527,1221
8600000US01460,01460,ZCTA5 01460,49488,3359
8600000US01462,01462,ZCTA5 01462,40771,3290
8600000US01463,01463,ZCTA5 01463,37824,3067
8600000US01464,01464,ZCTA5 01464,29748,4419
8600000US01467,01467,ZCTA5 01467,47052,24807
8600000US01468,01468,ZCTA5 01468,37560,5251
8600000US01469,01469,ZCTA5 01469,35376,3502
8600000US01473,01473,ZCTA5 01473,41812,4364
8600000US01474,01474,ZCTA5 01474,50984,9045
8600000US01475,01475,ZCTA5 01475,27530,2903
8600000US01501,01501,ZCTA5 01501,35524,1683
